Product_Url,Product_Name,Price,Rating,Review
NaN,NaN,NaN,NaN,NaN
/sspa/click?ie=UTF8&spc=MTo4ODk0NDI4NjMzNTY3OTc5OjE2NzU0NDU2OTY6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_209_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445696%26sprefix%3Dba%252Caps%252C283%26sr%3D8-209-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,"14,913","14,913"
/sspa/click?ie=UTF8&spc=MTo4ODk0NDI4NjMzNTY3OTc5OjE2NzU0NDU2OTY6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445696%26sprefix%3Dba%252Caps%252C283%26sr%3D8-210-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-211,Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags,698.,39,39
/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-212,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",579,"17,259","17,259"
/NORTH-ZONE-backpack-INVALID-DATA_navy/dp/B0BCYX6DW2/ref=sr_1_213?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-213,NORTH ZONE 25 ltrs (10 Cms) backpack(INVALID DATA_navy blue),664,399,399
/Skybags-Unisex-Black-Jacqard-Laptop/dp/B09ZV81F6M/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-214,Skybags Unisex Black Jacqard 34L Laptop Bags,"1,276",29,29
/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-215,"Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","1,859",1,1
/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_216?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-216,"Nivia 5227 Pulse Junior Bag, Others (Orange) (ORNAGE)",369,139,139
/Lavie-Womens-Ushawu-Satchel-Handbag/dp/B0B3JBRB6J/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-217,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,206","5,474","5,474"
/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1675445696&sprefix=ba%2Caps%2C283&sr=8-218,ASTRID Women's Round Sling Bag with Pompoms (Brown),499,295,295
/sspa/click?ie=UTF8&spc=MTo4ODk0NDI4NjMzNTY3OTc5OjE2NzU0NDU2OTY6c3BfbXRmOjIwMDk3NjEyMjMyMDk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_219_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445696%26sprefix%3Dba%252Caps%252C283%26sr%3D8-219-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,350",108,108
